,id,genre,subgenre,artist,title
0,Blues - Modern/Albert King - Born Under A Bad Sign,Blues,Modern,Albert King,Born Under A Bad Sign
1,Blues - Modern/B B King - How Blue Can You Get,Blues,Modern,B B King,How Blue Can You Get
2,Blues - Modern/B B King - Rock Me Baby,Blues,Modern,B B King,Rock Me Baby
3,Blues - Modern/B B King - The Thrill Is Gone,Blues,Modern,B B King,The Thrill Is Gone
4,Blues - Modern/Buddy Guy - Don't Answer the Door,Blues,Modern,Buddy Guy,Don't Answer the Door
5,Blues - Modern/Cream - Crossroads,Blues,Modern,Cream,Crossroads
6,Blues - Modern/Derek and the Dominoes - Key to the Highway,Blues,Modern,Derek and the Dominoes,Key to the Highway
7,Blues - Modern/Derek and the Dominoes - Nobody Knows You When Youre Down and Out,Blues,Modern,Derek and the Dominoes,Nobody Knows You When Youre Down and Out
8,Blues - Modern/Gary Moore - Still Got The Blues,Blues,Modern,Gary Moore,Still Got The Blues
9,Blues - Modern/James Cotton - Sweet Sixteen,Blues,Modern,James Cotton,Sweet Sixteen
10,Blues - Modern/Johnny Winter - Good Morning Little Schoolgirl,Blues,Modern,Johnny Winter,Good Morning Little Schoolgirl
11,Blues - Modern/Johnny Winter - Unseen Eye,Blues,Modern,Johnny Winter,Unseen Eye
12,Blues - Modern/Koko Taylor - Let the Good Times Roll,Blues,Modern,Koko Taylor,Let the Good Times Roll
13,Blues - Modern/Led Zeppelin - I Can't Quit You Baby,Blues,Modern,Led Zeppelin,I Can't Quit You Baby
14,Blues - Modern/Led Zeppelin - Since I've Been Loving You,Blues,Modern,Led Zeppelin,Since I've Been Loving You
15,Blues - Modern/Stevie Ray Vaughan - Cold Shot,Blues,Modern,Stevie Ray Vaughan,Cold Shot
16,Blues - Modern/Stevie Ray Vaughan - Honey Bee,Blues,Modern,Stevie Ray Vaughan,Honey Bee
17,Blues - Modern/Stevie Ray Vaughan - Pride And Joy,Blues,Modern,Stevie Ray Vaughan,Pride And Joy
18,Blues - Modern/Stevie Ray Vaughan - Texas Flood,Blues,Modern,Stevie Ray Vaughan,Texas Flood
19,Blues - Modern/Ten Years After - Help Me,Blues,Modern,Ten Years After,Help Me
20,Blues - Modern/The Allman Brothers Band - It's Not My Cross To Bear,Blues,Modern,The Allman Brothers Band,It's Not My Cross To Bear
21,Blues - Modern/The Allman Brothers Band - One Way Out,Blues,Modern,The Allman Brothers Band,One Way Out
22,Blues - Modern/The Allman Brothers Band - Statesboro Blues,Blues,Modern,The Allman Brothers Band,Statesboro Blues
23,Blues - Modern/The Allman Brothers Band - Stormy Monday,Blues,Modern,The Allman Brothers Band,Stormy Monday
24,Blues - Modern/The Doors - Roadhouse Blues,Blues,Modern,The Doors,Roadhouse Blues
25,Blues - Traditional/Blind Lemon Jefferson - Matchbox Blues,Blues,Traditional,Blind Lemon Jefferson,Matchbox Blues
26,Blues - Traditional/Brownie McGhee - Aint No Tellin,Blues,Traditional,Brownie McGhee,Aint No Tellin
27,Blues - Traditional/Brownie McGhee - Key to the Highway,Blues,Traditional,Brownie McGhee,Key to the Highway
28,Blues - Traditional/Buddy Guy - Rollin and Tumblin,Blues,Traditional,Buddy Guy,Rollin and Tumblin
29,Blues - Traditional/Charlie Patton - Screamin and Hollerin the Blues,Blues,Traditional,Charlie Patton,Screamin and Hollerin the Blues
30,Blues - Traditional/Chris Thomas King - Hard Time Killing Floor Blues,Blues,Traditional,Chris Thomas King,Hard Time Killing Floor Blues
31,Blues - Traditional/Doc Watson - Blues Stay Away From Me,Blues,Traditional,Doc Watson,Blues Stay Away From Me
32,Blues - Traditional/Eric Clapton - Before You Accuse Me,Blues,Traditional,Eric Clapton,Before You Accuse Me
33,Blues - Traditional/Howlin Wolf - Little Red Rooster,Blues,Traditional,Howlin Wolf,Little Red Rooster
34,Blues - Traditional/James Cotton - Dont Start Me Talkin,Blues,Traditional,James Cotton,Dont Start Me Talkin
35,Blues - Traditional/James Cotton - Juke,Blues,Traditional,James Cotton,Juke
36,Blues - Traditional/Johnny Winter - Dallas,Blues,Traditional,Johnny Winter,Dallas
37,Blues - Traditional/Lightnin Hopkins - In The Evening The Sun Is Going Down,Blues,Traditional,Lightnin Hopkins,In The Evening The Sun Is Going Down
38,Blues - Traditional/Lightnin Hopkins - Trouble In Mind Time,Blues,Traditional,Lightnin Hopkins,Trouble In Mind Time
39,Blues - Traditional/Mama Yancey - How Long Blues,Blues,Traditional,Mama Yancey,How Long Blues
40,Blues - Traditional/Misissipi Fred McDowell - My Babe,Blues,Traditional,Misissipi Fred McDowell,My Babe
41,Blues - Traditional/Muddy Waters - Good Morning Little School Girl,Blues,Traditional,Muddy Waters,Good Morning Little School Girl
42,Blues - Traditional/Muddy Waters - Hoochie Coochie Man,Blues,Traditional,Muddy Waters,Hoochie Coochie Man
43,Blues - Traditional/Muddy Waters - Kansas City,Blues,Traditional,Muddy Waters,Kansas City
44,Blues - Traditional/Robert Johnson - Cross Road Blues,Blues,Traditional,Robert Johnson,Cross Road Blues
45,Blues - Traditional/Robert Johnson - I Believe I'll Dust My Broom,Blues,Traditional,Robert Johnson,I Believe I'll Dust My Broom
46,Blues - Traditional/Robert Johnson - Sweet Home Chicago,Blues,Traditional,Robert Johnson,Sweet Home Chicago
47,Blues - Traditional/Robert Johnson - Terraplane Blues,Blues,Traditional,Robert Johnson,Terraplane Blues
48,Blues - Traditional/Robert Johnson - Walking Blues,Blues,Traditional,Robert Johnson,Walking Blues
49,Blues - Traditional/Skip James - Special Rider Blues,Blues,Traditional,Skip James,Special Rider Blues
50,Classical - Baroque/Bach J S - Art of Fugue Fugue No 3,Classical,Baroque,Bach J S,Art of Fugue Fugue No 3
51,Classical - Baroque/Bach J S - Cello Suite No 1 Prelude,Classical,Baroque,Bach J S,Cello Suite No 1 Prelude
52,Classical - Baroque/Bach J S - Prelude And Fugue For Organ In C,Classical,Baroque,Bach J S,Prelude And Fugue For Organ In C
53,Classical - Baroque/Bach J S - St Matthew Passion Kommt ihr Tochter,Classical,Baroque,Bach J S,St Matthew Passion Kommt ihr Tochter
