,name,node_type
0,Blues_-_Modern-Albert_King_-_Born_Under_A_Bad_Sign,MIDI
1,g1601074,note_group
2,http://purl.org/midi-ld/notes/42,pitch
3,dur:0,duration
4,vel:8,velocity
5,g1577049,note_group
6,http://purl.org/midi-ld/notes/38,pitch
7,g1575127,note_group
8,http://purl.org/midi-ld/notes/36,pitch
9,vel:9,velocity
10,g-1872221027,note_group
11,http://purl.org/midi-ld/notes/44,pitch
12,http://purl.org/midi-ld/notes/51,pitch
13,http://purl.org/midi-ld/notes/68,pitch
14,dur:3,duration
15,vel:6,velocity
16,g795292196,note_group
17,http://purl.org/midi-ld/notes/49,pitch
18,http://purl.org/midi-ld/notes/73,pitch
19,dur:6,duration
20,vel:7,velocity
21,g-323525947,note_group
22,g1691409,note_group
23,dur:1,duration
24,g-1955916850,note_group
25,http://purl.org/midi-ld/notes/77,pitch
26,dur:2,duration
27,g1692370,note_group
28,http://purl.org/midi-ld/notes/74,pitch
29,g1251174420,note_group
30,http://purl.org/midi-ld/notes/89,pitch
31,g1748108,note_group
32,http://purl.org/midi-ld/notes/90,pitch
33,vel:10,velocity
34,g1749070,note_group
35,http://purl.org/midi-ld/notes/91,pitch
36,g-2046809357,note_group
37,dur:54,duration
38,g-1018786433,note_group
39,http://purl.org/midi-ld/notes/72,pitch
40,http://purl.org/midi-ld/notes/76,pitch
41,g1624801589,note_group
42,http://purl.org/midi-ld/notes/39,pitch
43,http://purl.org/midi-ld/notes/63,pitch
44,g-2092287225,note_group
45,http://purl.org/midi-ld/notes/111,pitch
46,http://purl.org/midi-ld/notes/65,pitch
47,dur:1180,duration
48,g-995649152,note_group
49,g-1932323566,note_group
50,http://purl.org/midi-ld/notes/70,pitch
51,http://purl.org/midi-ld/notes/75,pitch
52,http://purl.org/midi-ld/notes/79,pitch
53,g-1174443209,note_group
54,g-995624166,note_group
55,g-1932323565,note_group
56,g-1854501574,note_group
57,dur:8,duration
58,g-1352988008,note_group
59,g1164853424,note_group
60,g955792350,note_group
61,dur:5,duration
62,g1629904,note_group
63,g-1174439365,note_group
64,g-1402570237,note_group
65,g955792348,note_group
66,g-380784249,note_group
67,g1661620,note_group
68,vel:5,velocity
69,g-2097322876,note_group
70,http://purl.org/midi-ld/notes/80,pitch
71,g1777701596,note_group
72,http://purl.org/midi-ld/notes/82,pitch
73,g-1654947033,note_group
74,g-1916282338,note_group
75,g844521369,note_group
76,g-1875042199,note_group
77,g94073449,note_group
78,g-837135229,note_group
79,dur:4,duration
80,g-244523500,note_group
81,g2130272236,note_group
82,g955792346,note_group
83,g-323554777,note_group
84,g-995653957,note_group
85,g-1854526565,note_group
86,g-400524255,note_group
87,g1193484492,note_group
88,g-1174383629,note_group
89,g-1094769720,note_group
90,g1749069,note_group
91,g-1932323564,note_group
92,g1255513757,note_group
93,g-2040710933,note_group
94,g841302657,note_group
95,http://purl.org/midi-ld/notes/84,pitch
96,g-1955889936,note_group
97,g1723122,note_group
98,http://purl.org/midi-ld/notes/85,pitch
99,g1724084,note_group
100,http://purl.org/midi-ld/notes/86,pitch
101,g1251142707,note_group
102,g1695254,note_group
103,g1697176,note_group
104,g-1780889918,note_group
105,g1720240,note_group
106,g1722167,note_group
